variable,coeficiente_clase_positiva,coeficiente_absoluto
otro_volatilidad_60m,0.17213975,0.17213975
volatilidad_240m,0.13114922,0.13114922
rango_relativo,0.10887568,0.10887568
cuerpo_relativo,-0.100798994,0.100798994
volatilidad_30m,0.09983074,0.09983074
beta_propio_otro_240m,0.083437495,0.083437495
dia_semana_seno,0.079363875,0.079363875
beta_propio_otro_60m,0.07701466,0.07701466
desviacion_media_cierre_240m,-0.06840784,0.06840784
residual_propio_otro_240m,0.064648814,0.064648814
minuto_dia_coseno,-0.06429037,0.06429037
ratio_volatilidad_60m,-0.06243648,0.06243648
volatilidad_60m,-0.061330292,0.061330292
operaciones_relativas_30m,0.06109211,0.06109211
residual_propio_otro_1440m,-0.058136925,0.058136925
volumen_relativo_240m,-0.056645967,0.056645967
divergencia_rendimiento_240m,-0.05107345,0.05107345
residual_propio_otro_60m,0.04965389,0.04965389
volatilidad_15m,0.04950907,0.04950907
volumen_relativo_30m,-0.044755265,0.044755265
otro_volatilidad_240m,0.03752225,0.03752225
volatilidad_5m,0.036943525,0.036943525
divergencia_rendimiento_60m,-0.036201898,0.036201898
mecha_superior_relativa,0.034525886,0.034525886
rendimiento_1m,0.032748025,0.032748025
desviacion_media_cierre_30m,-0.031844884,0.031844884
otro_rendimiento_1m,0.03068343,0.03068343
beta_propio_otro_1440m,0.028004358,0.028004358
minuto_dia_seno,-0.027879765,0.027879765
operaciones_relativas_240m,-0.02696688,0.02696688
correlacion_btc_eth_1440m,0.02681456,0.02681456
rendimiento_240m,-0.02558889,0.02558889
operaciones_relativas_15m,-0.025433686,0.025433686
desviacion_media_cierre_15m,-0.023916679,0.023916679
volumen_relativo_5m,0.023908965,0.023908965
operaciones_relativas_60m,0.02387226,0.02387226
volumen_relativo_60m,0.020428428,0.020428428
rendimiento_60m,-0.019566359,0.019566359
dia_semana_coseno,0.01847921,0.01847921
operaciones_relativas_5m,-0.015677765,0.015677765
ratio_volatilidad_240m,-0.01548415,0.01548415
mecha_inferior_relativa,0.015081723,0.015081723
divergencia_rendimiento_1m,0.014789629,0.014789629
correlacion_btc_eth_240m,0.011257392,0.011257392
proporcion_compradora_cotizacion,0.010680534,0.010680534
volumen_relativo_15m,0.009869229,0.009869229
proporcion_compradora_base,0.009664414,0.009664414
correlacion_btc_eth_60m,0.0076824673,0.0076824673
desviacion_media_cierre_60m,0.007406673,0.007406673
desviacion_media_cierre_5m,0.006873178,0.006873178
zscore_divergencia_1440m,0.006275678,0.006275678
rendimiento_15m,0.005632647,0.005632647
otro_rendimiento_5m,0.004753027,0.004753027
divergencia_rendimiento_15m,0.0045840805,0.0045840805
rendimiento_5m,0.0041954336,0.0041954336
otro_rendimiento_15m,0.004051415,0.004051415
otro_rendimiento_240m,0.0026552377,0.0026552377
zscore_divergencia_240m,0.002171282,0.002171282
divergencia_rendimiento_5m,0.0007438951,0.0007438951
divergencia_rendimiento_30m,-0.00058361294,0.00058361294
rendimiento_30m,-0.00034664533,0.00034664533
otro_rendimiento_60m,-0.00032590464,0.00032590464
otro_rendimiento_30m,-4.920601e-05,4.920601e-05
